"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서,기타,재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서,기타,재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서,기타,재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서
"전체",소계,17.1,14.8,7.4,16.7,21.6,12.3,4.7,4.7,0.8,0,17.6,16.4,6.2,15.4,20.3,10.8,7.2,5.5,0.6,0,19.7,12.7,9.3,12.7,25.9,9.1,6.6,3.2,0.8,0,18.6,13.6,9.3,13,23.5,10.7,5,5.6,0.5
"거주지역별",수도권,16.1,15.6,8.3,17.7,20.1,12.1,5.6,3.7,0.9,0,17.8,17.3,6.3,14.7,15.8,11.1,11.3,5.2,0.6,0,20.7,9.3,10.4,11.5,27.1,9.2,7.5,3.6,0.7,0,18.1,10.5,8.9,12.3,24.4,11.9,5.7,7.5,0.7
"거주지역별",충청권,16.5,10.6,6.6,16.4,23.2,10.3,6.3,9.9,0.2,0,13.9,12.2,4.7,23,28.1,10.1,4.7,2.4,0.9,0,16.3,11.4,10.9,14.8,27.9,10,6,2.7,0.1,0,16,13.9,10.3,17.9,23.6,10.9,3.3,4,0.3
"거주지역별",호남권,14.3,17.1,9,24,17.4,11.2,2.8,2.7,1.5,0,15.8,19.1,9.9,16.5,20.8,10.7,2.8,4.1,0.3,0,21.4,20.6,9.5,16,15.9,6.8,4.7,2.6,2.5,0,17.6,18.3,15.8,14.3,20.4,7,4.3,1.8,0.6
"거주지역별",대경권,20.1,15.9,7,13.5,21.6,15.4,3.1,2.6,0.6,0,16.4,22.8,6,17.1,23,11,1.9,1.8,0,0,24.6,15.3,5.1,12.4,26.5,10,3.4,2.4,0.4,0,28.7,15.9,4.4,9.1,29.9,9.4,1.2,1.4,0.1
"거주지역별",동남권,19.6,14.6,4.8,13,25.4,13.5,3.4,5.5,0.2,0.1,21.1,11.8,5.4,11.7,25.2,10.9,2.2,10.5,1.2,0,17.7,18.6,8.1,13.1,23.1,7.9,7.4,3,1,0,17.7,17.7,8.7,13.9,18,10.3,7.4,6.2,0.2
"거주지역별",강원권,22.7,6.2,3.3,3.7,38.6,10.4,2.7,11.5,0.3,0.5,19.3,8.8,2.3,9.3,32.2,7.1,7,12.9,0,0,2.8,7.1,4.5,11.1,48.1,15.7,6.8,3.9,0,0,13.3,21.1,9.2,9.6,27.2,10.8,2.8,5.4,0.4
"행정구역별",동,16.9,14.9,8,15.7,21.9,12.2,5,4.7,0.5,0,17.3,16.6,6.4,15,19.7,11.3,7.4,5.6,0.6,0,20.2,12.2,9.1,12.5,26.2,9,6.6,3.3,0.8,0,19.2,12.9,8.9,13.2,23.2,10.8,5.4,5.9,0.6
"행정구역별",읍면,17.5,14.4,5.3,19.8,20.7,12.7,3.6,4.5,1.5,0.1,19,15.6,5.1,17.5,23.2,8.1,6.4,4.7,0.4,0,17.1,15.5,10.6,13.8,24,9.7,6.4,2.2,0.8,0,15.6,18,11.7,11.6,25.3,10.7,2.9,4.2,0
"가구원수별",1인,17.9,14.2,10.4,14,24.3,8.6,5,4.6,0.8,0,17.8,16.3,8.1,16.2,20.9,8.8,7.2,4.2,0.6,0,23,10.6,11,12.2,28.6,7,4.5,2.2,0.9,0,22.9,13.2,9.1,13.4,25,8.8,2.7,3.9,1.2
"가구원수별",2인,17.6,12.1,6,17.4,22.7,14.3,4,4.8,1,0.1,18.2,19.4,6.3,13,20.4,10.1,6.4,5.7,0.6,0,17.7,14.7,7.9,12.4,28,8.8,6.4,3,1.2,0,17.6,15.2,8.3,12.1,23.1,10.5,5.5,7.4,0.4
"가구원수별",3인,14,17.7,6,18.1,17.9,14.4,6.4,4.3,1,0.1,16.8,13.9,5.8,14.9,19.5,13.3,8.7,6.2,0.8,0,20.9,11.1,8.6,13.6,24,9.7,7.9,3.5,0.6,0,15.7,13,10.5,13.2,23.4,12,5.3,6.4,0.4
"가구원수별",4인,18.5,15.1,6.4,17.6,20.7,13.3,3.4,4.8,0.2,0,17.3,15.7,4,17.6,19.8,11.9,6.8,6.4,0.4,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구원수별",4인 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.5,14.2,9.9,12.7,22.3,11.2,7.7,4.1,0.5,0,19.1,12.6,9.7,13.6,22.9,11.7,6.2,4,0.1
"가구원수별",5인 이상,16.7,18.6,3.3,21.6,27.8,3.9,1.3,6.6,0,0.2,17.7,10.6,0,19.9,31.5,12.5,5.3,2.5,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구주성별",남성,15.9,15.3,6.9,17,21.3,13.6,4.5,4.8,0.8,0,16.8,16.4,6.3,15.3,20.5,11.6,6.8,5.7,0.5,0,19,13.2,9.3,12.6,24.9,9.5,7.2,3.4,0.7,0,15.1,13.8,10.2,13.9,24.1,11.7,4.9,6.1,0.3
"가구주성별",여성,19.8,13.7,8.4,16,22.5,9.1,5.3,4.5,0.7,0,19.4,16.4,5.9,15.7,20.1,8.9,8.1,4.8,0.7,0,21.2,11.7,9.3,12.8,28,8.2,5.2,2.6,1,0,26.2,13.4,7.5,11,22.4,8.8,5.2,4.6,0.9
"가구주연령별",20대,17.2,14.5,10.6,16.5,24.9,7.3,4.5,4,0.4,0,22.7,16.6,9.7,14.2,18.3,8.3,6.9,2.3,1,0,19.2,7.2,13.2,13.4,32.1,6.5,5.8,1.2,1.4,0,17.8,15.1,16.8,14.3,20.8,10.8,2.7,1.4,0.4
"가구주연령별",30대,15.3,14.2,7.7,17.9,21.7,13.8,4.2,4.1,1.2,0,15.7,16,7.3,17,20.9,10.5,6.6,5.4,0.7,0,20.7,13.7,10.7,13.4,25.2,8.5,5.1,2.5,0.2,0,21.5,11,10,16.2,24.8,9.2,2.9,4.4,0.1
"가구주연령별",40대,17.3,16.3,6.7,15.9,22,12.9,4.6,3.8,0.3,0.1,17.2,17.7,5,15,18.9,11.6,8.6,5.4,0.6,0.1,17.8,14,8.8,14.9,22.3,10.9,7.4,3,0.9,0,19.3,14.7,9.3,12.7,22,11.2,6,4.3,0.6
"가구주연령별",50대,19.9,14,6.5,16.3,18.5,12.4,5.6,6,0.8,0,17.2,15.6,4.2,15.2,22.9,11.7,6.2,6.7,0.2,0.1,19.6,12.1,10.8,12,24.5,9.2,7.1,4.1,0.6,0,15.8,13.3,10.2,13.6,23.1,12.1,6.4,5,0.4
"가구주연령별",60대 이상,17.4,14.5,4.1,14.8,22,11.7,5.6,9.1,0.8,0.1,19.2,15.1,4.3,12.3,19.9,11.3,9,8.5,0.3,0,20.9,13.3,6.2,10.7,28.9,8.7,6.6,3.6,1.1,0,18.8,14.8,6.7,9.9,24.7,10.3,5,8.9,0.8
"가구주최종학력별",중졸 이하,16,13.6,3.7,11.1,24.6,13.9,7,9.3,0.7,0.1,19.9,13.1,6.4,13.1,26.2,6.8,6.2,7.9,0.3,0,23,13.5,6,10,29.8,7.4,7.4,2.1,0.8,0,19.5,19.4,4.8,11.7,25.7,8.3,4.6,4.6,1.5
"가구주최종학력별",고졸,15.7,16.4,6.9,18.3,22.1,10.8,4.5,4.6,0.8,0.1,18.4,15.7,5.3,15.4,21.9,9.8,6.9,6,0.3,0.1,19.9,12,9.6,12.4,26.3,8.6,7.3,3.2,0.6,0,17.9,14.3,8.5,11.7,24,10.4,4.9,7.8,0.5
"가구주최종학력별",전문대졸 이상,17.7,14.2,7.7,16.2,21.3,12.9,4.7,4.5,0.8,0,17.1,16.8,6.6,15.5,19.5,11.3,7.4,5.2,0.7,0,19.2,13.1,9.5,13.2,25.2,9.6,6,3.3,0.9,0,19,12.8,10.1,13.8,23.1,11.2,5.1,4.4,0.4
"가구주직업별",관리/전문/사무직,17.2,14.3,7.6,15.7,22.1,13,4.6,4.6,0.8,0,16.8,15.2,6.6,15.8,19.5,11.8,8.3,5.1,0.8,0,18.9,14,9.4,13.5,24.1,9.8,6.5,3.2,0.6,0,18.6,11.6,10.9,14.1,22.7,11.7,5.2,4.7,0.5
"가구주직업별",서비스/판매직,16.3,16.5,8.1,18.1,19.6,11.3,5.3,4,0.7,0,17.1,18.3,6.3,16,19.2,10.1,6.8,5.8,0.4,0.1,22.3,11.1,9.8,12.1,25.9,8.3,6.6,3,0.9,0,17.4,16,8.3,11.6,25,9.2,4.8,7.2,0.5
"가구주직업별",기계/농림어업/단순노무,17.4,13.6,5.8,18.5,22.4,12,4.1,5.3,0.8,0.1,20,16.7,5.2,14.6,24.8,8.7,4.8,5.1,0.1,0,19.5,13.5,10.2,11.3,24.1,9.4,7.6,3.2,1.2,0,16.6,14.3,8.3,13.8,24.7,11.8,4.6,5.7,0.3
"가구주직업별",주부,21.5,19.3,4.7,10.5,22,10.4,5.8,5.4,0.2,0.2,12.6,29.7,0,9.5,27.1,8.8,-,12.4,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구주직업별",기타,17,13.8,3.7,11.7,29.4,10.5,4.7,9.1,0.1,0,23.5,18,2.6,7.3,19.9,11.3,5.5,11.8,0,0,17.2,10.8,6.5,13.5,35.2,8,4.9,3.5,0.5,0,28.1,14.9,7.1,9.2,20.3,8.1,6,5.3,1
"월평균가구소득별",200만원 미만,16.1,16,7.6,14.6,22.2,10.4,5.3,7.4,0.4,0,20.4,14,7.7,14.8,20.8,8.8,7.4,5.5,0.6,0,24.7,11.6,9.6,10.3,29,5.7,5.8,2.8,0.5,0,19.3,15.5,5.3,11.2,25.4,8.8,3.3,10.3,0.9
"월평균가구소득별",200~300만원 미만,17.3,13.9,11.2,12.9,26.4,7.6,4.5,4.5,1.5,0.1,17.3,18.6,4.5,15.4,20.4,11.8,6.4,4.7,0.8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득별",200~400만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.9,13.6,8.9,12.5,27.8,9.1,5.3,2.7,1.2,0,20.8,13.2,9.1,13,23,9.7,4.8,5.8,0.5
"월평균가구소득별",300~400만원 미만,13.8,13.5,6.7,19.5,24.6,14.7,3.6,3.4,0.3,0,18.9,14.5,8.7,12.9,24.5,8.3,7.5,4.4,0.3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득별",400~500만원 미만,19.6,15.5,6.5,16.5,20.7,13.1,4.2,3.7,0,0.1,17.3,15,4.5,17.8,18.8,11.6,7.6,6.6,0.8,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득별",400~600만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.6,11,9.3,14,24.9,10.4,8,4.1,0.8,0,18.4,14,10.3,11.7,23.1,11.6,5,5.2,0.6
"월평균가구소득별",500~600만원 미만,19,17.5,7.7,15.4,19.2,12.2,3.4,5.3,0.3,0,17.1,17.7,6.7,13.8,21.1,11.4,8.5,3.2,0.5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득별",600만원 이상,17.7,13.7,5.8,19.2,17.7,14.3,6,3.7,1.8,0,14.8,18.7,6.6,15.5,19,12,6.7,6.2,0.4,0.1,19.6,14.6,9.8,13.3,21.6,10.3,7.4,3,0.5,0,14.1,12.8,9.8,16.3,24.5,12.4,6.4,3.7,0
