"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),1만원 미만 (%),1만원~2만원 미만 (%),2만원~4만원 미만 (%),4만원~6만원 미만 (%),6만원~8만원 미만 (%),8만원~10만원 미만 (%),10만원 이상 (%),평균 (원),1만원 미만 (%),1만원~2만원 미만 (%),2만원~4만원 미만 (%),4만원~6만원 미만 (%),6만원~8만원 미만 (%),8만원~10만원 미만 (%),10만원 이상 (%),평균 (원),1만원 미만 (%),1만원~2만원 미만 (%),2만원~4만원 미만 (%),4만원~6만원 미만 (%),6만원~8만원 미만 (%),8만원~10만원 미만 (%),10만원 이상 (%),평균 (원),1만원 미만 (%),1만원~2만원 미만 (%),2만원~4만원 미만 (%),4만원~6만원 미만 (%),6만원~8만원 미만 (%),8만원~10만원 미만 (%),10만원 이상 (%),평균 (원),1만원 미만 (%),1만원~2만원 미만 (%),2만원~4만원 미만 (%),4만원~6만원 미만 (%),6만원~8만원 미만 (%),8만원~10만원 미만 (%),10만원 이상 (%),무응답 (%),평균 (원)
"전체",소계,2.7,8.1,23.8,19.7,8.2,5.4,32.1,78875,0.6,3.4,19.3,15.2,9.9,6.3,45.4,109501,0.5,2.3,14.8,14.1,7.9,4.2,56.1,134743,2.3,5.9,16.3,13.4,6.5,3.2,52.4,159629,0.5,4.4,18.3,20.8,11.1,6.3,38.1,0.4,91858
"거주지역별",수도권,2.4,5.8,25.6,16.6,9.9,6.9,32.7,80415,0.7,4.0,25.2,16.4,13.6,8.6,31.5,91270,0.5,1.3,13.4,14.4,9.4,5.3,55.7,138148,1.8,3.4,13.3,10.5,5.3,2.8,62.9,217515,0.1,2.8,14.5,18.8,10.6,7.2,45.1,0.9,105294
"거주지역별",충청권,1.6,11.5,28.1,31.3,10.1,5.4,12.0,52938,0.4,0.7,15.0,9.5,4.2,5.5,64.7,126380,0.0,1.4,5.8,4.6,8.3,2.0,77.9,157100,0.0,6.2,7.8,11.9,8.3,5.6,60.1,114041,0.3,3.7,11.6,25.6,14.6,6.4,37.8,0.0,97311
"거주지역별",호남권,7.6,19.6,27.6,20.4,4.7,1.8,18.2,50743,0.8,5.9,12.5,15.4,6.1,6.1,53.2,126506,1.5,8.2,32.4,12.0,5.7,3.2,36.9,83018,5.7,7.3,18.5,21.0,6.9,3.5,37.0,85215,1.3,4.3,26.6,28.3,8.3,3.0,28.1,0.0,75993
"거주지역별",대경권,2.2,6.6,22.8,19.7,1.8,4.3,42.6,107401,0.2,1.9,7.7,12.3,9.9,1.6,66.3,145919,0.2,1.9,9.4,14.3,7.3,2.7,64.1,123253,0.6,3.7,19.8,15.9,9.2,2.9,47.9,119787,0.5,5.0,16.1,15.0,12.6,8.5,42.3,0.0,83179
"거주지역별",동남권,1.2,5.4,15.7,21.8,9.1,4.4,42.5,84930,0.3,2.2,17.8,16.1,6.3,3.4,53.9,116074,0.7,2.6,14.8,18.3,5.5,4.1,54.1,161920,3.9,12.8,26.5,17.2,7.8,2.6,29.3,96245,1.2,8.4,31.0,23.5,12.4,4.4,19.2,0.0,60595
"거주지역별",강원권,2.3,10.2,12.0,15.3,1.9,2.0,56.4,123370,0.0,4.0,9.5,22.6,2.1,1.5,60.4,130348,0.0,1.8,23.2,29.6,5.2,2.2,38.1,85733,5.3,12.3,23.8,11.2,4.2,3.7,39.6,101745,2.0,10.8,21.5,14.2,5.5,5.8,40.2,0.0,91036
"행정구역별",동,2.4,7.7,22.7,19.6,8.2,5.6,33.7,80667,0.6,3.9,19.9,15.2,10.5,5.7,44.3,107232,0.6,2.4,16.0,14.8,8.5,4.4,53.3,128208,2.3,5.2,15.7,12.8,6.0,3.3,54.7,164015,0.5,4.1,17.9,19.9,10.8,6.4,40.0,0.5,94900
"행정구역별",읍면,3.9,10.0,28.7,20.1,7.8,4.5,25.0,70973,0.5,1.8,17.3,15.4,8.0,8.1,48.9,117002,0.1,2.1,8.6,10.8,5.2,3.3,69.9,166259,2.6,9.6,19.3,16.4,9.5,2.7,39.9,135809,0.6,6.0,20.9,25.8,12.8,5.9,28.0,0.0,75236
"가구원수별",1인,3.3,10.9,23.9,19.9,8.1,5.2,28.6,71517,1.2,3.8,21.9,13.2,8.9,5.6,45.5,105856,0.3,2.7,16.2,17.5,8.4,3.9,51.0,108919,3.9,4.3,17.1,11.9,4.7,2.5,55.5,132408,0.6,5.7,17.5,20.0,12.3,8.3,34.9,0.8,82670
"가구원수별",2인,2.8,12.0,29.3,19.5,7.6,3.2,25.6,62451,0.3,5.2,19.2,14.3,8.1,6.6,46.3,108269,1.3,2.1,20.3,14.1,6.6,2.6,53.1,119938,3.1,10.2,21.1,18.3,6.6,3.3,37.4,121869,0.5,5.9,23.9,24.4,11.1,4.8,29.2,0.2,77956
"가구원수별",3인,3.1,3.8,24.5,21.5,7.8,6.1,33.2,83047,0.3,2.4,18.0,18.4,9.3,6.1,45.5,109738,0.5,2.2,9.1,11.1,9.0,6.0,62.1,165792,1.7,4.7,15.0,11.2,7.0,3.4,57.1,196528,0.7,2.8,18.6,19.2,9.5,7.8,40.9,0.5,96880
"가구원수별",4인,1.2,5.1,17.8,18.8,9.5,6.9,40.6,98535,0.4,2.0,17.7,16.4,13.4,7.3,42.8,113396,0.1,2.3,11.3,11.8,7.7,4.8,62.1,157643,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구원수별",4인 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,3.5,10.8,11.1,7.9,3.7,62.6,198906,0.3,2.7,11.0,18.1,11.7,4.9,50.9,0.4,115116
"가구원수별",5인 이상,8.3,3.2,10.2,3.4,2.9,10.1,62.0,132547,0.0,4.0,15.5,0.4,10.1,0.0,69.9,138426,0.0,0.0,32.2,22.4,7.1,0.0,38.3,155775,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구주성별",남성,2.0,6.1,23.2,18.8,8.7,5.6,35.5,84954,0.3,3.0,16.9,14.9,9.3,6.5,49.1,117741,0.6,2.0,14.4,12.9,8.3,4.4,57.4,144736,1.9,6.1,16.2,13.4,8.0,3.1,51.3,150382,0.5,4.3,19.5,21.4,10.8,6.0,37.0,0.4,89020
"가구주성별",여성,4.4,13.0,25.4,21.9,6.8,4.8,23.7,63884,1.1,4.2,25.1,15.9,11.3,5.8,36.6,89910,0.4,3.1,15.6,17.0,7.1,3.7,53.1,111667,3.3,5.3,16.5,13.4,3.4,3.4,54.8,179714,0.5,4.5,15.8,19.6,11.9,6.8,40.5,0.5,97920
"가구주연령별",20대,1.6,4.2,13.0,24.9,7.4,8.5,40.4,87412,0.0,3.8,22.7,14.5,4.5,6.8,47.7,114872,0.0,2.8,11.7,18.9,5.1,2.1,59.3,130377,2.0,1.5,9.4,12.9,4.9,2.8,66.4,144843,1.3,0.3,14.7,15.4,7.1,10.1,51.2,0.0,129863
"가구주연령별",30대,1.7,6.9,17.6,20.2,9.7,4.9,38.9,93353,0.4,2.5,16.9,12.8,12.1,7.1,48.1,113877,0.8,1.2,14.9,12.1,9.0,4.1,57.8,133056,2.5,1.5,13.6,11.1,8.1,2.4,60.8,178253,0.3,0.5,11.0,21.3,9.4,6.7,50.8,0.0,110420
"가구주연령별",40대,1.9,4.5,20.1,19.9,8.3,6.4,38.9,95116,0.5,2.0,16.3,17.6,11.3,5.7,46.6,118641,0.3,1.2,12.8,12.9,8.6,5.0,59.3,154249,0.5,5.5,12.7,9.5,6.8,3.2,61.8,176044,0.1,2.6,12.0,16.4,13.0,6.4,48.8,0.7,110724
"가구주연령별",50대,2.6,7.5,24.8,19.5,9.2,4.8,31.5,75739,1.0,4.3,22.9,14.6,8.0,5.9,43.3,97507,0.6,3.3,15.5,15.4,7.4,4.8,53.0,134710,0.8,4.8,14.3,13.9,7.2,4.7,54.4,194060,0.4,4.3,19.1,21.5,10.5,7.1,36.2,0.9,88404
"가구주연령별",60대 이상,4.7,14.7,34.8,17.7,5.9,4.3,17.8,51592,1.6,10.6,27.9,23.0,7.9,3.8,25.1,67832,1.1,8.3,24.6,16.1,7.0,4.0,38.8,80671,5.3,11.4,25.1,17.8,5.1,2.5,32.7,105272,1.0,9.4,28.9,24.2,12.2,4.5,19.7,0.2,59358
"가구주최종학력별",중졸 이하,7.9,21.1,37.5,12.3,5.0,2.7,13.5,43768,1.7,8.4,37.2,21.4,6.5,4.4,20.5,58583,2.0,12.6,34.9,19.4,8.0,2.3,20.7,52873,10.6,17.7,27.5,19.4,4.4,1.6,18.8,66384,3.0,16.9,37.9,22.1,7.1,3.1,9.9,0.0,43179
"가구주최종학력별",고졸,2.9,8.1,26.0,19.7,7.9,4.9,30.4,73262,0.7,3.8,21.3,14.5,9.9,4.6,45.1,107161,0.5,2.7,16.7,15.0,8.9,3.3,52.8,124103,1.9,7.8,18.8,15.5,6.9,4.1,45.1,141305,0.3,6.9,23.7,25.4,12.9,5.9,24.6,0.3,68354
"가구주최종학력별",전문대졸 이상,1.8,6.1,20.0,20.8,8.9,6.1,36.3,88694,0.5,3.0,17.8,15.3,10.0,7.0,46.3,112293,0.5,1.9,13.4,13.6,7.5,4.6,58.4,141174,1.6,3.2,13.3,11.3,6.6,2.8,61.2,182796,0.4,1.9,13.6,17.9,10.4,6.8,48.5,0.6,109914
"가구주직업별",관리/전문/사무직,1.5,5.0,19.5,20.5,8.5,7.9,37.1,91388,0.5,2.6,20.1,15.3,10.0,5.1,46.4,111819,0.5,1.8,13.1,13.0,8.1,4.9,58.7,141555,1.5,3.1,13.2,11.9,6.4,3.2,60.7,184765,0.3,2.0,14.4,19.0,10.3,6.0,47.6,0.3,107745
"가구주직업별",서비스/판매직,2.9,9.0,26.2,20.7,8.8,3.2,29.2,70250,0.7,4.1,17.4,16.2,10.9,9.2,41.5,103557,0.8,2.7,16.3,16.2,7.5,3.9,52.7,122977,1.4,7.4,14.3,10.9,7.7,3.9,54.3,145372,0.6,5.0,18.8,19.5,12.3,8.2,34.4,1.1,85779
"가구주직업별",기계/농림어업/단순노무,2.7,9.9,25.0,19.6,7.1,4.5,31.3,77394,0.5,4.4,18.9,12.9,8.3,6.3,48.7,113641,0.2,2.7,16.8,14.2,7.5,3.0,55.6,138629,2.6,8.4,22.2,16.7,7.1,3.0,40.0,124178,0.5,7.0,25.4,29.0,10.8,4.7,22.6,0.0,65890
"가구주직업별",주부,9.4,15.3,36.4,12.4,7.4,3.4,15.7,45977,1.2,10.1,40.1,24.5,3.7,1.1,19.2,63533,0.0,0.0,10.1,33.5,0.0,0.0,56.4,158196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구주직업별",기타,7.2,16.6,33.3,11.2,6.7,2.8,22.3,52042,0.4,3.4,16.7,16.8,9.6,3.0,50.0,108549,1.4,8.2,21.6,13.3,12.7,0.8,42.0,88552,6.7,7.4,20.5,17.7,3.2,2.3,42.2,166976,1.7,7.9,19.5,13.8,12.0,5.3,39.8,0.0,94005
"월평균가구소득별",200만원 미만,7.1,16.5,30.3,16.6,4.2,3.8,21.4,53802,1.7,5.2,25.9,14.9,9.1,3.9,39.3,88051,0.1,2.4,17.8,15.7,8.1,3.7,52.2,110922,6.7,10.7,22.6,11.8,3.3,3.2,41.7,112841,2.4,13.7,31.2,20.8,12.1,8.0,11.8,0.0,50108
"월평균가구소득별",200~300만원 미만,2.7,10.9,23.7,20.1,7.8,5.9,28.9,72135,0.7,2.7,15.2,11.0,8.9,7.5,54.0,124589,0.7,2.6,15.4,18.5,5.5,2.8,54.5,109092,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득별",200~400만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.9,6.2,19.7,15.6,7.2,3.1,46.2,126346,0.4,4.6,20.5,22.7,9.8,5.8,35.5,0.6,83765
"월평균가구소득별",300~400만원 미만,2.7,7.3,21.2,20.7,9.5,4.2,34.4,80506,0.2,4.0,18.9,16.8,10.1,3.0,46.9,115443,2.1,1.7,8.3,16.6,9.8,3.9,57.6,143216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득별",400~500만원 미만,0.9,5.8,20.4,23.6,8.3,4.5,36.6,89509,0.6,2.0,22.8,15.9,7.8,9.1,41.9,104699,0.6,2.1,15.8,14.5,9.1,5.8,52.2,132097,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득별",400~600만원 미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,3.7,11.8,14.2,8.1,3.9,57.2,178815,0.3,2.1,16.1,21.4,11.9,5.9,42.0,0.2,101902
"월평균가구소득별",500~600만원 미만,2.0,3.0,22.5,17.4,7.4,6.9,40.7,98202,0.0,3.6,20.5,20.5,10.2,3.3,41.9,102898,0.0,4.9,21.1,7.8,10.4,4.7,51.0,154050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균가구소득별",600만원 이상,0.9,4.8,28.1,18.7,12.8,7.8,26.9,73904,0.0,2.5,13.3,14.2,12.2,9.5,48.4,120977,0.0,1.7,11.5,9.1,7.0,4.3,66.3,172889,0.7,4.0,11.4,10.1,6.2,2.4,65.1,227334,0.3,3.5,11.7,15.3,11.7,7.1,49.4,0.9,110468
